Against,Beneficiary,Game_ID,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
Denver,Oakland,45,9/27/2009,Ed Hochuli,5,30,3,20,2,10,0,0,3,2,1,0,1,1,3,2009
Oakland,Denver,45,9/27/2009,Ed Hochuli,6,53,3,25,3,28,0,0,2,1,1,0,1,1,3,2009
San Diego,Miami,46,9/27/2009,Bill Leavy,3,20,1,15,2,5,0,0,2,0,2,0,0,0,3,2009
Miami,San Diego,46,9/27/2009,Bill Leavy,7,39,5,25,2,14,0,0,4,4,0,0,0,0,3,2009
Indianapolis,Arizona,47,9/27/2009,Pete Morelli,7,69,2,15,3,36,2,18,1,1,0,0,1,1,3,2009
Carolina,Dallas,48,9/28/2009,Tony Corrente,6,60,3,25,2,30,1,5,2,1,0,1,0,0,3,2009
Dallas,Carolina,48,9/28/2009,Tony Corrente,9,80,7,60,0,0,2,20,3,3,0,0,0,0,3,2009
Chicago,Detroit,49,10/4/2009,Walt Coleman,3,36,0,0,2,31,1,5,1,0,0,1,1,1,4,2009
Detroit,Chicago,49,10/4/2009,Walt Coleman,7,51,4,30,0,0,3,21,4,3,0,1,0,1,4,2009
Cincinnati,Cleveland,50,10/4/2009,Scott Green,6,46,4,21,0,0,2,25,3,3,0,0,0,1,4,2009
Cleveland,Cincinnati,50,10/4/2009,Scott Green,5,44,2,15,1,4,2,25,0,0,0,0,2,1,4,2009
Oakland,Houston,51,10/4/2009,Don Carey,9,60,4,20,4,35,1,5,6,4,1,1,3,0,4,2009
Houston,Oakland,51,10/4/2009,Don Carey,1,5,0,0,1,5,0,0,0,0,0,0,0,0,4,2009
Seattle,Indianapolis,52,10/4/2009,Mike Carey,6,45,6,45,0,0,0,0,2,2,0,0,1,0,4,2009
