Against,Beneficiary,Game_ID,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
Arizona,Minnesota,1947,11/20/2016,Clete Blakeman,8,96,2,17,5,73,1,6,1,1,0,0,0,0,11,2016
Minnesota,Arizona,1947,11/20/2016,Clete Blakeman,10,73,5,35,4,30,1,8,3,3,0,0,1,0,11,2016
N.Y. Giants,Chicago,1948,11/20/2016,Craig Wrolstad,4,35,1,10,2,15,1,10,1,0,1,0,0,0,11,2016
Chicago,N.Y. Giants,1948,11/20/2016,Craig Wrolstad,5,40,3,25,1,5,1,10,1,1,0,0,0,0,11,2016
LA Rams,Miami,1949,11/20/2016,Gene Steratore,8,70,4,25,2,30,2,15,4,3,0,1,3,2,11,2016
Miami,LA Rams,1949,11/20/2016,Gene Steratore,8,82,3,26,4,41,1,15,2,1,1,0,1,2,11,2016
San Francisco,New England,1950,11/20/2016,Jeff Triplette,10,68,2,10,7,43,1,15,6,2,4,0,1,0,11,2016
New England,San Francisco,1950,11/20/2016,Jeff Triplette,5,40,3,25,1,5,1,10,1,1,0,0,0,0,11,2016
Philadelphia,Seattle,1951,11/20/2016,Carl Cheffers,8,48,5,29,2,10,1,9,5,4,1,0,1,1,11,2016
Seattle,Philadelphia,1951,11/20/2016,Carl Cheffers,7,48,5,35,2,13,0,0,4,3,1,0,1,1,11,2016
Green Bay,Washington,1952,11/20/2016,John Hussey,6,59,4,30,2,29,0,0,2,2,0,0,1,1,11,2016
Washington,Green Bay,1952,11/20/2016,John Hussey,6,40,2,10,4,30,0,0,4,2,2,0,0,1,11,2016
Oakland,Houston,1953,11/21/2016,Tony Corrente,4,21,2,10,2,11,0,0,2,2,0,0,3,0,11,2016
Houston,Oakland,1953,11/21/2016,Tony Corrente,7,101,2,10,5,91,0,0,3,2,1,0,1,0,11,2016
Detroit,Minnesota,1954,11/24/2016,Carl Cheffers,4,16,0,0,3,15,1,1,1,0,1,0,0,0,12,2016
Minnesota,Detroit,1954,11/24/2016,Carl Cheffers,5,40,4,35,1,5,0,0,3,2,1,0,1,0,12,2016
Dallas,Washington,1955,11/24/2016,Craig Wrolstad,3,25,2,20,1,5,0,0,0,0,0,0,2,0,12,2016
Washington,Dallas,1955,11/24/2016,Craig Wrolstad,3,30,2,15,1,15,0,0,1,1,0,0,1,0,12,2016
Pittsburgh,Indianapolis,1956,11/24/2016,Walt Coleman,7,67,5,47,1,15,1,5,1,0,0,1,2,0,12,2016
Indianapolis,Pittsburgh,1956,11/24/2016,Walt Coleman,2,10,0,0,0,0,2,10,1,0,0,1,0,0,12,2016
Arizona,Atlanta,1957,11/27/2016,John Parry,8,60,3,31,4,24,1,5,1,0,0,1,0,0,12,2016
Atlanta,Arizona,1957,11/27/2016,John Parry,4,23,1,10,3,13,0,0,0,0,0,0,0,0,12,2016
Cincinnati,Baltimore,1958,11/27/2016,Clete Blakeman,2,15,2,15,0,0,0,0,1,1,0,0,0,0,12,2016
Baltimore,Cincinnati,1958,11/27/2016,Clete Blakeman,8,69,2,25,4,30,2,14,1,0,0,1,3,0,12,2016
Buffalo,Jacksonville,1959,11/27/2016,Tony Corrente,6,31,2,15,3,11,1,5,3,1,2,0,0,0,12,2016
Jacksonville,Buffalo,1959,11/27/2016,Tony Corrente,6,60,2,10,2,40,2,10,4,2,0,2,0,0,12,2016
Tennessee,Chicago,1960,11/27/2016,Ed Hochuli,6,118,4,40,2,78,0,0,1,1,0,0,0,0,12,2016
Chicago,Tennessee,1960,11/27/2016,Ed Hochuli,7,48,3,25,2,10,2,13,2,1,0,1,0,0,12,2016
Cleveland,N.Y. Giants,1961,11/27/2016,Walt Anderson,5,35,5,35,0,0,0,0,4,4,0,0,0,0,12,2016
N.Y. Giants,Cleveland,1961,11/27/2016,Walt Anderson,9,100,3,20,3,55,3,25,2,2,0,0,1,0,12,2016
Houston,San Diego,1962,11/27/2016,Jeff Triplette,9,58,2,15,6,38,1,5,3,1,2,0,1,1,12,2016
San Diego,Houston,1962,11/27/2016,Jeff Triplette,10,78,4,30,4,28,2,20,4,2,1,1,1,1,12,2016
Miami,San Francisco,1963,11/27/2016,Ron Torbert,4,42,2,15,1,17,1,10,1,1,0,0,1,0,12,2016
San Francisco,Miami,1963,11/27/2016,Ron Torbert,7,65,6,60,1,5,0,0,2,2,0,0,2,0,12,2016
LA Rams,New Orleans,1964,11/27/2016,John Hussey,6,62,5,38,1,24,0,0,3,3,0,0,3,0,12,2016
New Orleans,LA Rams,1964,11/27/2016,John Hussey,6,45,4,35,1,5,1,5,1,1,0,0,2,0,12,2016
Tampa Bay,Seattle,1965,11/27/2016,Bill Vinovich,7,68,6,39,1,29,0,0,3,3,0,0,0,0,12,2016
Seattle,Tampa Bay,1965,11/27/2016,Bill Vinovich,2,27,1,12,1,15,0,0,0,0,0,0,2,0,12,2016
Denver,Kansas City,1966,11/27/2016,Pete Morelli,15,97,5,39,6,30,4,28,7,3,3,1,1,0,12,2016
Kansas City,Denver,1966,11/27/2016,Pete Morelli,9,71,4,30,4,37,1,4,3,1,1,1,1,0,12,2016
Oakland,Carolina,1967,11/27/2016,Jerome Boger,7,46,1,5,5,31,1,10,2,1,1,0,1,0,12,2016
Carolina,Oakland,1967,11/27/2016,Jerome Boger,7,67,3,28,3,31,1,8,1,0,1,0,2,0,12,2016
N.Y. Jets,New England,1968,11/27/2016,Brad Allen,6,66,2,17,3,41,1,8,2,0,2,0,2,0,12,2016
New England,N.Y. Jets,1968,11/27/2016,Brad Allen,2,15,0,0,1,5,1,10,1,0,1,0,0,0,12,2016
Philadelphia,Green Bay,1969,11/28/2016,Terry McAulay,7,42,2,10,4,27,1,5,4,1,2,1,1,0,12,2016
Green Bay,Philadelphia,1969,11/28/2016,Terry McAulay,7,51,3,19,3,25,1,7,3,1,2,0,1,0,12,2016
Dallas,Minnesota,1970,12/1/2016,Tony Corrente,10,78,5,49,4,19,1,10,4,1,3,0,1,0,13,2016
Minnesota,Dallas,1970,12/1/2016,Tony Corrente,8,57,6,40,0,0,2,17,4,4,0,0,1,0,13,2016
Atlanta,Kansas City,1971,12/4/2016,Walt Coleman,5,30,4,25,1,5,0,0,3,2,1,0,0,0,13,2016
Kansas City,Atlanta,1971,12/4/2016,Walt Coleman,13,128,3,25,8,87,2,16,4,1,3,0,3,0,13,2016
Baltimore,Miami,1972,12/4/2016,Carl Cheffers,7,68,3,25,2,27,2,16,1,1,0,0,1,0,13,2016
Miami,Baltimore,1972,12/4/2016,Carl Cheffers,7,57,6,52,0,0,1,5,3,3,0,0,1,0,13,2016
Chicago,San Francisco,1973,12/4/2016,Pete Morelli,5,40,3,20,1,15,1,5,2,1,0,1,0,0,13,2016
San Francisco,Chicago,1973,12/4/2016,Pete Morelli,11,106,4,35,2,16,5,55,2,1,0,1,1,0,13,2016
Philadelphia,Cincinnati,1974,12/4/2016,Jeff Triplette,10,88,4,20,5,63,1,5,6,4,1,1,0,0,13,2016
Cincinnati,Philadelphia,1974,12/4/2016,Jeff Triplette,3,23,2,10,1,13,0,0,2,2,0,0,0,0,13,2016
Green Bay,Houston,1975,12/4/2016,Gene Steratore,4,30,1,10,2,10,1,10,2,0,2,0,0,0,13,2016
Houston,Green Bay,1975,12/4/2016,Gene Steratore,3,12,2,10,1,2,0,0,1,0,1,0,0,0,13,2016
Jacksonville,Denver,1976,12/4/2016,Craig Wrolstad,6,65,4,35,1,15,1,15,2,2,0,0,0,0,13,2016
Denver,Jacksonville,1976,12/4/2016,Craig Wrolstad,4,32,1,5,3,27,0,0,2,1,1,0,0,0,13,2016
New England,LA Rams,1977,12/4/2016,Jerome Boger,8,46,4,35,2,1,2,10,4,1,2,1,0,0,13,2016
LA Rams,New England,1977,12/4/2016,Jerome Boger,4,30,3,25,1,5,0,0,2,1,1,0,2,0,13,2016
New Orleans,Detroit,1978,12/4/2016,Clete Blakeman,10,83,7,65,3,18,0,0,3,3,0,0,0,1,13,2016
Detroit,New Orleans,1978,12/4/2016,Clete Blakeman,6,39,3,14,2,20,1,5,5,3,1,1,2,1,13,2016
Buffalo,Oakland,1979,12/4/2016,Bill Vinovich,8,73,4,25,3,33,1,15,5,3,2,0,0,0,13,2016
Oakland,Buffalo,1979,12/4/2016,Bill Vinovich,7,65,3,30,2,10,2,25,2,1,1,0,0,0,13,2016
Washington,Arizona,1980,12/4/2016,Walt Anderson,7,35,5,25,2,10,0,0,6,5,1,0,0,0,13,2016
Arizona,Washington,1980,12/4/2016,Walt Anderson,6,51,3,24,2,20,1,7,1,1,0,0,0,0,13,2016
Pittsburgh,N.Y. Giants,1981,12/4/2016,Terry McAulay,12,115,4,35,4,40,4,40,2,1,0,1,3,0,13,2016
N.Y. Giants,Pittsburgh,1981,12/4/2016,Terry McAulay,4,24,4,24,0,0,0,0,1,1,0,0,0,0,13,2016
San Diego,Tampa Bay,1982,12/4/2016,John Hussey,6,45,4,36,2,9,0,0,2,1,1,0,1,0,13,2016
Tampa Bay,San Diego,1982,12/4/2016,John Hussey,6,35,4,25,1,5,1,5,2,1,0,1,1,0,13,2016
Seattle,Carolina,1983,12/4/2016,John Parry,6,37,2,10,1,5,3,22,3,2,1,0,0,1,13,2016
Carolina,Seattle,1983,12/4/2016,John Parry,6,63,3,25,2,23,1,15,1,1,0,0,2,1,13,2016
N.Y. Jets,Indianapolis,1984,12/5/2016,Ron Torbert,6,90,2,20,4,70,0,0,1,1,0,0,0,0,13,2016
Indianapolis,N.Y. Jets,1984,12/5/2016,Ron Torbert,3,28,2,15,1,13,0,0,1,1,0,0,0,0,13,2016
Kansas City,Oakland,1985,12/8/2016,Terry McAulay,9,73,5,32,2,21,2,20,3,3,0,0,0,0,14,2016
Oakland,Kansas City,1985,12/8/2016,Terry McAulay,10,82,3,20,3,25,4,37,4,2,2,0,2,0,14,2016
Pittsburgh,Buffalo,1986,12/11/2016,Pete Morelli,6,45,3,20,2,15,1,10,2,2,0,0,2,0,14,2016
Buffalo,Pittsburgh,1986,12/11/2016,Pete Morelli,7,46,5,36,1,5,1,5,4,2,1,1,0,0,14,2016
San Diego,Carolina,1987,12/11/2016,Ron Torbert,7,32,3,9,3,15,1,8,4,2,2,0,2,0,14,2016
Carolina,San Diego,1987,12/11/2016,Ron Torbert,5,35,3,20,0,0,2,15,3,2,0,1,2,0,14,2016
Cleveland,Cincinnati,1988,12/11/2016,Gene Steratore,5,34,3,20,0,0,2,14,2,2,0,0,1,0,14,2016
Cincinnati,Cleveland,1988,12/11/2016,Gene Steratore,6,43,2,25,1,3,3,15,3,0,0,3,1,0,14,2016
Detroit,Chicago,1989,12/11/2016,Jeff Triplette,7,55,3,30,3,15,1,10,2,0,2,0,3,0,14,2016
Chicago,Detroit,1989,12/11/2016,Jeff Triplette,11,139,5,40,6,99,0,0,3,2,1,0,1,0,14,2016
Houston,Indianapolis,1990,12/11/2016,Brad Allen,7,124,2,20,4,89,1,15,1,0,1,0,2,0,14,2016
Indianapolis,Houston,1990,12/11/2016,Brad Allen,9,59,3,25,5,29,1,5,3,1,1,1,1,0,14,2016
Jacksonville,Minnesota,1991,12/11/2016,John Hussey,14,114,7,42,3,32,4,40,5,5,0,0,1,0,14,2016
Minnesota,Jacksonville,1991,12/11/2016,John Hussey,7,93,2,15,4,73,1,5,2,1,0,1,2,0,14,2016
Arizona,Miami,1992,12/11/2016,Jerome Boger,7,54,3,29,2,10,2,15,3,1,1,1,1,0,14,2016
Miami,Arizona,1992,12/11/2016,Jerome Boger,14,118,7,67,6,41,1,10,4,2,2,0,1,0,14,2016
Washington,Philadelphia,1993,12/11/2016,Tony Corrente,5,86,1,5,1,44,3,37,1,1,0,0,0,0,14,2016
Philadelphia,Washington,1993,12/11/2016,Tony Corrente,5,54,3,20,1,24,1,10,2,2,0,0,0,0,14,2016
Tampa Bay,New Orleans,1994,12/11/2016,Walt Anderson,7,65,3,25,4,40,0,0,4,2,2,0,0,0,14,2016
New Orleans,Tampa Bay,1994,12/11/2016,Walt Anderson,13,104,6,50,6,44,1,10,4,3,1,0,3,0,14,2016
Tennessee,Denver,1995,12/11/2016,John Parry,5,55,4,40,0,0,1,15,0,0,0,0,1,0,14,2016
Denver,Tennessee,1995,12/11/2016,John Parry,9,87,5,50,2,20,2,17,2,1,1,0,0,0,14,2016
N.Y. Jets,San Francisco,1996,12/11/2016,Craig Wrolstad,9,56,5,30,2,10,2,16,5,4,1,0,1,0,14,2016
San Francisco,N.Y. Jets,1996,12/11/2016,Craig Wrolstad,3,25,3,25,0,0,0,0,1,1,0,0,3,0,14,2016
Seattle,Green Bay,1997,12/11/2016,Walt Coleman,7,63,2,15,4,38,1,10,2,1,1,0,0,1,14,2016
Green Bay,Seattle,1997,12/11/2016,Walt Coleman,5,50,1,15,3,25,1,10,2,0,2,0,0,1,14,2016
Atlanta,LA Rams,1998,12/11/2016,Clete Blakeman,5,40,1,5,3,25,1,10,1,0,1,0,1,1,14,2016
LA Rams,Atlanta,1998,12/11/2016,Clete Blakeman,11,105,6,45,3,40,2,20,1,1,0,0,0,1,14,2016
N.Y. Giants,Dallas,1999,12/11/2016,Carl Cheffers,7,50,4,30,2,10,1,10,3,2,1,0,0,0,14,2016
Dallas,N.Y. Giants,1999,12/11/2016,Carl Cheffers,5,54,1,10,1,15,3,29,0,0,0,0,1,0,14,2016
Baltimore,New England,2000,12/12/2016,Ed Hochuli,8,47,5,30,1,5,2,12,5,4,0,1,0,0,14,2016
New England,Baltimore,2000,12/12/2016,Ed Hochuli,5,48,4,33,1,15,0,0,1,1,0,0,0,0,14,2016
Seattle,LA Rams,2001,12/15/2016,Brad Allen,13,86,5,26,6,30,2,30,9,5,4,0,1,0,15,2016
LA Rams,Seattle,2001,12/15/2016,Brad Allen,8,76,2,15,5,51,1,10,1,1,0,0,0,0,15,2016
Miami,N.Y. Jets,2002,12/17/2016,Pete Morelli,9,70,4,25,5,45,0,0,6,3,3,0,1,0,15,2016
N.Y. Jets,Miami,2002,12/17/2016,Pete Morelli,3,42,2,20,1,22,0,0,0,0,0,0,1,0,15,2016
Philadelphia,Baltimore,2003,12/18/2016,Craig Wrolstad,3,30,1,10,2,20,0,0,0,0,0,0,2,0,15,2016
Baltimore,Philadelphia,2003,12/18/2016,Craig Wrolstad,7,62,1,10,5,42,1,10,1,0,1,0,0,0,15,2016
Cleveland,Buffalo,2004,12/18/2016,Clete Blakeman,4,51,2,21,1,15,1,15,0,0,0,0,2,0,15,2016
Buffalo,Cleveland,2004,12/18/2016,Clete Blakeman,5,42,1,10,3,24,1,8,2,0,2,0,0,0,15,2016
Chicago,Green Bay,2005,12/18/2016,Ron Torbert,6,40,3,20,2,10,1,10,2,2,0,0,0,0,15,2016
Green Bay,Chicago,2005,12/18/2016,Ron Torbert,8,64,3,25,3,19,2,20,1,1,0,0,1,0,15,2016
Dallas,Tampa Bay,2006,12/18/2016,Terry McAulay,8,91,5,60,3,31,0,0,2,0,2,0,0,0,15,2016
Tampa Bay,Dallas,2006,12/18/2016,Terry McAulay,3,35,2,25,0,0,1,10,0,0,0,0,0,0,15,2016
Jacksonville,Houston,2007,12/18/2016,Ed Hochuli,12,91,4,31,4,26,4,34,2,2,0,0,1,1,15,2016
Houston,Jacksonville,2007,12/18/2016,Ed Hochuli,6,71,3,25,2,36,1,10,1,1,0,0,0,1,15,2016
Tennessee,Kansas City,2008,12/18/2016,John Hussey,2,25,1,10,1,15,0,0,0,0,0,0,2,1,15,2016
Kansas City,Tennessee,2008,12/18/2016,John Hussey,5,40,1,5,2,25,2,10,4,1,1,2,0,1,15,2016
Minnesota,Indianapolis,2009,12/18/2016,Jerome Boger,6,27,2,10,3,15,1,2,3,2,1,0,1,0,15,2016
Indianapolis,Minnesota,2009,12/18/2016,Jerome Boger,5,55,2,10,2,30,1,15,2,2,0,0,0,0,15,2016
Detroit,N.Y. Giants,2010,12/18/2016,Tony Corrente,2,15,1,5,0,0,1,10,1,1,0,0,0,1,15,2016
N.Y. Giants,Detroit,2010,12/18/2016,Tony Corrente,5,46,1,10,3,26,1,10,0,0,0,0,0,1,15,2016
New Orleans,Arizona,2011,12/18/2016,Carl Cheffers,5,46,2,15,3,31,0,0,2,1,1,0,1,0,15,2016
Arizona,New Orleans,2011,12/18/2016,Carl Cheffers,7,52,1,5,2,25,4,22,4,1,0,3,1,0,15,2016
Atlanta,San Francisco,2012,12/18/2016,Gene Steratore,4,27,2,10,1,11,1,6,2,2,0,0,0,0,15,2016
San Francisco,Atlanta,2012,12/18/2016,Gene Steratore,4,20,1,5,3,15,0,0,3,1,2,0,0,0,15,2016
New England,Denver,2013,12/18/2016,Walt Anderson,4,30,2,15,1,5,1,10,2,1,1,0,2,1,15,2016
Denver,New England,2013,12/18/2016,Walt Anderson,5,49,2,24,3,25,0,0,0,0,0,0,2,1,15,2016
San Diego,Oakland,2014,12/18/2016,John Parry,6,44,0,0,3,15,3,29,2,0,2,0,0,0,15,2016
Oakland,San Diego,2014,12/18/2016,John Parry,2,15,2,15,0,0,0,0,1,1,0,0,0,0,15,2016
Pittsburgh,Cincinnati,2015,12/18/2016,Bill Vinovich,7,104,5,50,2,54,0,0,1,1,0,0,1,0,15,2016
Cincinnati,Pittsburgh,2015,12/18/2016,Bill Vinovich,8,86,0,0,7,76,1,10,1,0,1,0,0,0,15,2016
Carolina,Washington,2016,12/19/2016,Walt Coleman,6,62,3,35,3,27,0,0,1,0,1,0,2,0,15,2016
Washington,Carolina,2016,12/19/2016,Walt Coleman,7,70,4,45,1,10,2,15,1,0,0,1,0,0,15,2016
Philadelphia,N.Y. Giants,2017,12/22/2016,Clete Blakeman,1,5,1,5,0,0,0,0,1,1,0,0,1,0,16,2016
N.Y. Giants,Philadelphia,2017,12/22/2016,Clete Blakeman,5,50,2,15,2,30,1,5,2,1,0,1,0,0,16,2016
Buffalo,Miami,2018,12/24/2016,Craig Wrolstad,5,35,3,25,1,5,1,5,2,1,1,0,0,0,16,2016
Miami,Buffalo,2018,12/24/2016,Craig Wrolstad,2,15,1,10,1,5,0,0,1,0,1,0,0,0,16,2016
Atlanta,Carolina,2019,12/24/2016,Bill Vinovich,6,45,5,40,1,5,0,0,4,3,1,0,0,0,16,2016
Carolina,Atlanta,2019,12/24/2016,Bill Vinovich,4,24,2,10,2,14,0,0,1,1,0,0,0,0,16,2016
Washington,Chicago,2020,12/24/2016,Brad Allen,7,73,2,14,3,35,2,24,1,1,0,0,3,0,16,2016
Chicago,Washington,2020,12/24/2016,Brad Allen,4,52,2,20,2,32,0,0,0,0,0,0,1,0,16,2016
San Diego,Cleveland,2021,12/24/2016,Walt Coleman,9,92,4,36,5,56,0,0,1,1,0,0,2,0,16,2016
Cleveland,San Diego,2021,12/24/2016,Walt Coleman,4,44,2,10,2,34,0,0,2,2,0,0,0,0,16,2016
Minnesota,Green Bay,2022,12/24/2016,Jeff Triplette,8,70,6,50,2,20,0,0,4,3,1,0,1,0,16,2016
Green Bay,Minnesota,2022,12/24/2016,Jeff Triplette,3,21,2,15,0,0,1,6,1,1,0,0,0,0,16,2016
Tennessee,Jacksonville,2023,12/24/2016,Pete Morelli,6,49,3,19,3,30,0,0,2,2,0,0,1,0,16,2016
Jacksonville,Tennessee,2023,12/24/2016,Pete Morelli,4,45,2,15,1,15,1,15,1,1,0,0,0,0,16,2016
New England,N.Y. Jets,2024,12/24/2016,Gene Steratore,3,20,1,10,1,5,1,5,1,0,0,1,1,0,16,2016
N.Y. Jets,New England,2024,12/24/2016,Gene Steratore,6,77,2,20,4,57,0,0,2,1,1,0,0,0,16,2016
Oakland,Indianapolis,2025,12/24/2016,Ed Hochuli,10,93,7,66,2,12,1,15,3,2,1,0,1,1,16,2016
Indianapolis,Oakland,2025,12/24/2016,Ed Hochuli,4,22,1,5,2,2,1,15,1,1,0,0,0,1,16,2016
LA Rams,San Francisco,2026,12/24/2016,Walt Anderson,5,45,1,5,2,20,2,20,1,1,0,0,1,0,16,2016
San Francisco,LA Rams,2026,12/24/2016,Walt Anderson,11,100,7,54,2,31,2,15,5,4,0,1,3,0,16,2016
Seattle,Arizona,2027,12/24/2016,Ron Torbert,5,40,3,25,2,15,0,0,1,1,0,0,1,0,16,2016
Arizona,Seattle,2027,12/24/2016,Ron Torbert,7,85,3,29,2,36,2,20,1,1,0,0,2,0,16,2016
Houston,Cincinnati,2028,12/24/2016,Carl Cheffers,3,25,3,25,0,0,0,0,1,1,0,0,2,0,16,2016
Cincinnati,Houston,2028,12/24/2016,Carl Cheffers,6,60,0,0,5,52,1,8,0,0,0,0,2,0,16,2016
Baltimore,Pittsburgh,2029,12/25/2016,John Parry,7,95,2,20,2,50,3,25,2,0,0,2,1,0,16,2016
Pittsburgh,Baltimore,2029,12/25/2016,John Parry,4,45,2,15,2,30,0,0,1,1,0,0,2,0,16,2016
Denver,Kansas City,2030,12/25/2016,Tony Corrente,9,70,6,45,3,25,0,0,5,4,1,0,1,1,16,2016
Kansas City,Denver,2030,12/25/2016,Tony Corrente,8,65,4,35,3,25,1,5,4,2,1,1,1,1,16,2016
Dallas,Detroit,2031,12/26/2016,John Hussey,8,47,5,25,0,0,3,22,5,4,0,1,1,1,16,2016
Detroit,Dallas,2031,12/26/2016,John Hussey,5,62,2,15,3,47,0,0,1,1,0,0,1,1,16,2016
New Orleans,Atlanta,2032,1/1/2017,Ron Torbert,6,70,2,10,4,60,0,0,4,2,2,0,0,0,17,2016
Atlanta,New Orleans,2032,1/1/2017,Ron Torbert,9,63,4,25,2,12,3,26,4,3,0,1,0,0,17,2016
Baltimore,Cincinnati,2033,1/1/2017,Pete Morelli,4,41,2,25,2,16,0,0,0,0,0,0,0,1,17,2016
Cincinnati,Baltimore,2033,1/1/2017,Pete Morelli,2,20,1,5,1,15,0,0,1,1,0,0,1,1,17,2016
Detroit,Green Bay,2034,1/1/2017,Jerome Boger,5,30,2,15,3,15,0,0,2,1,1,0,3,0,17,2016
Green Bay,Detroit,2034,1/1/2017,Jerome Boger,10,75,8,60,1,5,1,10,6,5,1,0,2,0,17,2016
Jacksonville,Indianapolis,2035,1/1/2017,Clete Blakeman,8,54,4,30,3,16,1,8,4,2,2,0,0,0,17,2016
Indianapolis,Jacksonville,2035,1/1/2017,Clete Blakeman,4,35,3,30,1,5,0,0,1,1,0,0,0,0,17,2016
Miami,New England,2036,1/1/2017,John Parry,9,73,5,35,3,28,1,10,5,4,1,0,2,0,17,2016
New England,Miami,2036,1/1/2017,John Parry,7,64,5,44,0,0,2,20,1,1,0,0,0,0,17,2016
Minnesota,Chicago,2037,1/1/2017,Terry McAulay,2,15,2,15,0,0,0,0,1,1,0,0,0,1,17,2016
Chicago,Minnesota,2037,1/1/2017,Terry McAulay,6,49,4,30,2,19,0,0,3,2,1,0,0,1,17,2016
N.Y. Jets,Buffalo,2038,1/1/2017,Jeff Triplette,2,15,2,15,0,0,0,0,1,1,0,0,0,1,17,2016
Buffalo,N.Y. Jets,2038,1/1/2017,Jeff Triplette,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2016
Dallas,Philadelphia,2039,1/1/2017,Walt Coleman,5,35,1,5,4,30,0,0,4,1,3,0,2,0,17,2016
Philadelphia,Dallas,2039,1/1/2017,Walt Coleman,4,61,2,15,2,46,0,0,1,1,0,0,0,0,17,2016
Cleveland,Pittsburgh,2040,1/1/2017,John Hussey,5,37,2,10,1,7,2,20,2,2,0,0,0,0,17,2016
Pittsburgh,Cleveland,2040,1/1/2017,John Hussey,9,43,3,16,3,8,3,19,2,2,0,0,1,0,17,2016
Tampa Bay,Carolina,2041,1/1/2017,Carl Cheffers,5,30,1,5,1,5,3,20,4,1,1,2,0,0,17,2016
Carolina,Tampa Bay,2041,1/1/2017,Carl Cheffers,4,45,4,45,0,0,0,0,0,0,0,0,1,0,17,2016
Houston,Tennessee,2042,1/1/2017,Bill Vinovich,6,35,1,5,3,15,2,15,3,1,2,0,1,0,17,2016
Tennessee,Houston,2042,1/1/2017,Bill Vinovich,7,50,3,20,3,25,1,5,4,2,1,1,0,0,17,2016
Washington,N.Y. Giants,2043,1/1/2017,Gene Steratore,5,42,2,15,2,18,1,9,1,1,0,0,1,0,17,2016
N.Y. Giants,Washington,2043,1/1/2017,Gene Steratore,5,42,4,40,1,2,0,0,0,0,0,0,0,0,17,2016
Oakland,Denver,2044,1/1/2017,Brad Allen,13,125,4,30,7,70,2,25,4,3,1,0,0,0,17,2016
Denver,Oakland,2044,1/1/2017,Brad Allen,5,43,2,18,2,20,1,5,2,0,1,1,1,0,17,2016
Arizona,LA Rams,2045,1/1/2017,Craig Wrolstad,4,51,1,10,2,36,1,5,0,0,0,0,1,1,17,2016
LA Rams,Arizona,2045,1/1/2017,Craig Wrolstad,9,61,4,25,3,23,2,13,5,3,1,1,0,1,17,2016
San Diego,Kansas City,2046,1/1/2017,Walt Anderson,10,50,2,10,6,25,2,15,5,2,3,0,1,0,17,2016
Kansas City,San Diego,2046,1/1/2017,Walt Anderson,4,19,1,6,2,8,1,5,3,1,1,1,1,0,17,2016
San Francisco,Seattle,2047,1/1/2017,Tony Corrente,4,25,3,20,0,0,1,5,2,2,0,0,0,0,17,2016
Seattle,San Francisco,2047,1/1/2017,Tony Corrente,4,34,2,15,1,4,1,15,2,1,1,0,0,0,17,2016
Oakland,Houston,#N/A,1/7/2017,Ron Torbert,8,63,5,36,3,27,0,0,2,2,0,0,0,1,18,2016
Houston,Oakland,#N/A,1/7/2017,Ron Torbert,7,65,3,20,2,30,2,15,2,2,0,0,1,1,18,2016
Detroit,Seattle,#N/A,1/7/2017,Brad Allen,7,68,4,33,2,25,1,10,2,2,0,0,2,0,18,2016
Seattle,Detroit,#N/A,1/7/2017,Brad Allen,6,40,1,5,3,15,2,20,3,1,2,0,0,0,18,2016
Pittsburgh,Miami,#N/A,1/8/2017,Craig Wrolstad,6,60,3,30,2,20,1,10,2,1,1,0,2,0,18,2016
Miami,Pittsburgh,#N/A,1/8/2017,Craig Wrolstad,6,64,2,25,3,34,1,5,3,0,2,1,0,0,18,2016
N.Y. Giants,Green Bay,#N/A,1/8/2017,Ed Hochuli,3,42,2,10,1,32,0,0,2,2,0,0,0,0,18,2016
Green Bay,N.Y. Giants,#N/A,1/8/2017,Ed Hochuli,2,20,1,10,0,0,1,10,0,0,0,0,1,0,18,2016
Seattle,Atlanta,#N/A,1/14/2017,Gene Steratore,7,40,1,5,3,12,3,23,2,1,1,0,1,0,19,2016
Atlanta,Seattle,#N/A,1/14/2017,Gene Steratore,2,10,0,0,0,0,2,10,1,0,0,1,2,0,19,2016
Houston,New England,#N/A,1/14/2017,Pete Morelli,5,75,3,30,2,45,0,0,0,0,0,0,0,0,19,2016
New England,Houston,#N/A,1/14/2017,Pete Morelli,5,50,2,20,2,20,1,10,0,0,0,0,0,0,19,2016
Kansas City,Pittsburgh,#N/A,1/15/2017,Carl Cheffers,6,60,6,60,0,0,0,0,2,2,0,0,1,0,19,2016
Pittsburgh,Kansas City,#N/A,1/15/2017,Carl Cheffers,4,53,1,5,3,48,0,0,1,1,0,0,0,0,19,2016
Dallas,Green Bay,#N/A,1/15/2017,Tony Corrente,6,50,3,30,3,20,0,0,2,1,1,0,1,0,19,2016
Green Bay,Dallas,#N/A,1/15/2017,Tony Corrente,3,22,1,5,2,17,0,0,1,1,0,0,0,0,19,2016
Green Bay,Atlanta,#N/A,1/22/2017,Bill Vinovich,6,63,2,20,4,43,0,0,1,0,1,0,1,0,20,2016
Atlanta,Green Bay,#N/A,1/22/2017,Bill Vinovich,4,31,2,10,2,21,0,0,3,2,1,0,1,0,20,2016
