Game_ID,Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
105,Houston,Buffalo,11/1/2009,Gene Steratore,9,81,5,45,4,36,9,8,2009
106,Cleveland,Chicago,11/1/2009,Al Riveron,8,65,3,30,5,35,8,8,2009
107,Seattle,Dallas,11/1/2009,Jerome Boger,11,96,6,53,5,43,11,8,2009
108,St. Louis,Detroit,11/1/2009,Ron Winter,13,94,5,27,8,67,17,8,2009
109,Minnesota,Green Bay,11/1/2009,Tony Corrente,9,74,3,29,6,45,13,8,2009
110,San Francisco,Indianapolis,11/1/2009,Ed Hochuli,12,88,7,50,5,38,12,8,2009
111,Miami,N.Y. Jets,11/1/2009,Don Carey,10,65,4,25,6,40,11,8,2009
112,Oakland,San Diego,11/1/2009,Terry McAulay,11,71,6,31,5,40,12,8,2009
113,Jacksonville,Tennessee,11/1/2009,Pete Morelli,6,47,2,27,4,20,9,8,2009
114,Carolina,Arizona,11/1/2009,Mike Carey,12,107,7,72,5,35,14,8,2009
115,N.Y. Giants,Philadelphia,11/1/2009,Carl Cheffers,9,70,4,25,5,45,14,8,2009
116,Atlanta,New Orleans,11/2/2009,Jeff Triplette,11,90,4,25,7,65,13,8,2009
117,Washington,Atlanta,11/8/2009,Ron Winter,17,142,10,88,7,54,19,9,2009
118,Arizona,Chicago,11/8/2009,Ed Hochuli,11,104,2,15,9,89,12,9,2009
119,Baltimore,Cincinnati,11/8/2009,Al Riveron,13,120,7,80,6,40,15,9,2009
120,Houston,Indianapolis,11/8/2009,Jeff Triplette,17,143,13,103,4,40,22,9,2009
121,Kansas City,Jacksonville,11/8/2009,Bill Leavy,6,41,1,10,5,31,8,9,2009
122,Miami,New England,11/8/2009,Mike Carey,8,84,3,35,5,49,13,9,2009
123,Green Bay,Tampa Bay,11/8/2009,Pete Morelli,7,50,5,35,2,15,9,9,2009
124,Carolina,New Orleans,11/8/2009,Scott Green,13,92,6,37,7,55,14,9,2009
125,Detroit,Seattle,11/8/2009,John Parry,15,122,9,77,6,45,18,9,2009
126,San Diego,N.Y. Giants,11/8/2009,Walt Anderson,12,124,3,20,9,104,17,9,2009
