Team,Team_ID,Name,Pos,Count,Yards,Declined,Offsetting,Pre-Snap,Penalties,Week,Year
New Orleans,25,P.Haralson,OLB,1,5,0,0,0,Illegal Use of Hands (1),9,2014
Denver,10,E.Sanders,WR,1,5,0,0,1,False Start (1),9,2014
Cleveland,8,M.Moore,WR,1,15,0,0,0,Interference with Opportunity to Catch (1),9,2014
Denver,10,P.Cornick,T,1,10,0,0,0,Offensive Holding (1),9,2014
St. Louis,32,A.Donald,DL,1,5,0,0,1,Neutral Zone Infraction (1),9,2014
St. Louis,32,G.Robinson,T,1,10,0,0,0,Offensive Holding (1),9,2014
Minnesota,21,L.Joseph,DT,1,3,0,0,0,Roughing the Passer (1),9,2014
Washington,35,D.Jackson,WR,1,10,0,0,0,Offensive Pass Interference (1),9,2014
Carolina,5,M.Addison,LB,1,5,0,0,0,Illegal Use of Hands (1),9,2014
Jacksonville,15,Z.Beadles,G,1,10,0,0,0,Offensive Holding (1),9,2014
Cincinnati,7,M.Newhouse,G,1,5,0,0,1,False Start (1),9,2014
Jacksonville,15,T.Smith,OLB,1,15,0,0,0,Unnecessary Roughness (1),9,2014
Tampa Bay,33,K.Tandy,FS,1,15,0,0,0,Illegal Blindside Block (1),9,2014
Tampa Bay,33,O.Cousins,T,1,5,0,0,1,False Start (1),9,2014
Tampa Bay,33,M.Evans,WR,1,10,0,0,0,Offensive Pass Interference (1),9,2014
Dallas,9,R.McClain,MLB,1,5,0,0,0,Illegal Use of Hands (1),9,2014
Dallas,9,T.Clutts,FB,1,8,0,0,0,Offensive Holding (1),9,2014
Houston,13,J.Prosch,RB,1,8,0,0,0,Illegal Block Above the Waist (1),9,2014
Philadelphia,27,M.Jenkins,SS,0,0,1,0,1,Defensive Offside (1),9,2014
Houston,13,J.Aubrey,DB,1,6,0,0,0,Illegal Block Above the Waist (1),9,2014
Kansas City,16,J.Howard,DT,1,5,0,0,1,Neutral Zone Infraction (1),9,2014
Kansas City,16,C.Santos,K,1,10,0,0,0,Tripping (1),9,2014
Kansas City,16,M.McGlynn,G,1,5,0,0,1,False Start (1),9,2014
San Diego,29,D.Brown,RB,1,5,0,0,1,False Start (1),9,2014
Minnesota,21,C.Wootton,DE,1,5,0,0,0,Illegal Use of Hands (1),9,2014
San Francisco,30,M.Martin,C,1,5,0,0,1,False Start (1),9,2014
San Francisco,30,B.Ellington,WR,1,5,0,0,0,Unsportsmanlike Conduct (1),9,2014
Oakland,26,J.Ellis,DT,1,3,0,0,0,Face Mask (15 Yards) (1),9,2014
Oakland,26,L.Asante,SS,1,10,0,0,0,Offensive Holding (1),9,2014
Seattle,31,P.Richardson,WR,1,10,0,0,0,Offensive Holding (1),9,2014
Seattle,31,P.Lewis,C,1,5,0,0,1,False Start (1),9,2014
N.Y. Giants,22,D.Kennard,OLB,1,15,0,0,0,Face Mask (15 Yards) (1),9,2014
Indianapolis,14,J.Harrison,C,1,10,0,0,0,Offensive Holding (1),9,2014
Dallas,9,Tyr.Smith,OL,1,5,0,0,1,False Start (1),9,2014
Denver,10,B.Roby,DB,1,8,0,0,0,Defensive Pass Interference (1),9,2014
Tampa Bay,33,A.Seferian,TE,3,30,0,0,1,"False Start (1), Offensive Holding (1), Unsportsmanlike Conduct (1)",10,2014
Denver,10,O.Franklin,G,2,10,0,0,2,False Start (2),10,2014
Baltimore,3,T.Suggs,OLB,1,5,1,0,2,"Defensive Offside (1), Neutral Zone Infraction (1)",10,2014
Detroit,11,B.Pettigrew,TE,2,15,0,0,1,"False Start (1), Offensive Holding (1)",10,2014
Miami,20,J.Odrick,DT,2,10,0,0,2,"Defensive Offside (1), Neutral Zone Infraction (1)",10,2014
Carolina,5,A.Silatolu,T,2,10,0,0,2,False Start (2),10,2014
N.Y. Jets,23,W.Colon,G,2,10,0,0,2,False Start (2),10,2014
Chicago,6,J.Bushrod,T,2,10,0,0,2,False Start (2),10,2014
Arizona,1,P.Fanaika,G,2,20,0,0,1,"False Start (1), Unnecessary Roughness (1)",10,2014
N.Y. Giants,22,W.Richburg,C,2,20,0,0,0,Offensive Holding (2),10,2014
Chicago,6,K.Fuller,CB,2,44,0,0,0,"Unnecessary Roughness (1), Defensive Pass Interference (1)",10,2014
Atlanta,2,J.Matthews,OL,2,15,0,0,1,"False Start (1), Offensive Holding (1)",10,2014
Seattle,31,T.Simon,CB,1,5,1,0,1,"Defensive Holding (1), Neutral Zone Infraction (1)",10,2014
Cincinnati,7,M.Newhouse,G,2,20,0,0,0,Offensive Holding (2),10,2014
Oakland,26,R.Armstrong,OLB,2,16,0,0,0,"Unnecessary Roughness (1), Illegal Block Above the Waist (1)",10,2014
Dallas,9,J.Witten,TE,1,5,0,0,1,False Start (1),10,2014
Green Bay,12,C.Matthews,OLB,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Chicago,6,T.Jennings,DB,1,53,0,0,0,Defensive Pass Interference (1),10,2014
Philadelphia,27,J.Kelce,OL,1,5,0,0,1,False Start (1),10,2014
Cleveland,8,J.Sheard,DE,1,5,0,0,1,Neutral Zone Infraction (1),10,2014
Oakland,26,K.Barnes,T,0,0,1,0,0,Illegal Touch Pass (1),10,2014
Green Bay,12,B.Bulaga,T,1,10,0,0,0,Offensive Holding (1),10,2014
Chicago,6,J.Cutler,QB,1,5,0,0,1,Delay of Game (1),10,2014
Cincinnati,7,C.Boling,G,1,5,0,0,0,Ineligible Downfield Pass (1),10,2014
Buffalo,4,S.Chandler,TE,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Miami,20,J.Taylor,CB,1,15,0,0,0,Face Mask (15 Yards) (1),10,2014
Pittsburgh,28,M.Pouncey,C,1,10,0,0,0,Offensive Holding (1),10,2014
Pittsburgh,28,M.Gilbert,T,1,5,0,0,1,False Start (1),10,2014
Detroit,11,D.Raiola,C,1,5,0,0,0,Ineligible Downfield Pass (1),10,2014
Detroit,11,N.Suh,DT,1,10,0,0,0,Face Mask (15 Yards) (1),10,2014
Dallas,9,A.Spencer,LB,0,0,1,0,1,Defensive Offside (1),10,2014
Philadelphia,27,E.Mathis,G,1,5,0,0,1,False Start (1),10,2014
St. Louis,32,L.Kendricks,TE,1,15,0,0,0,Illegal Blindside Block (1),10,2014
Arizona,1,P.Peterson,CB,1,5,0,0,0,Illegal Contact (1),10,2014
Buffalo,4,K.Urbik,G,1,4,0,0,0,Offensive Holding (1),10,2014
Tampa Bay,33,D.Dotson,T,1,5,0,0,1,False Start (1),10,2014
Cincinnati,7,R.Nelson,FS,0,0,1,0,1,Defensive Offside (1),10,2014
Seattle,31,B.Maxwell,DB,0,0,1,0,0,Defensive Holding (1),10,2014
New Orleans,25,J.Graham,TE,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Denver,10,C.Clark,T,1,10,0,0,0,Offensive Holding (1),10,2014
Cleveland,8,B.Skrine,DB,1,13,0,0,0,Defensive Pass Interference (1),10,2014
Cincinnati,7,A.Dalton,QB,1,5,0,0,0,Illegal Forward Pass (1),10,2014
Buffalo,4,A.Williams,SS,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Seattle,31,M.Lynch,RB,1,5,0,0,1,False Start (1),10,2014
Philadelphia,27,N.Allen,DB,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Denver,10,D.Bruton,SS,1,10,0,0,0,Illegal Block Above the Waist (1),10,2014
Detroit,11,C.Johnson,WR,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Cincinnati,7,C.Dunlap,DE,0,0,1,0,1,Defensive Offside (1),10,2014
New Orleans,25,J.Goodwin,C,1,5,0,0,1,False Start (1),10,2014
Miami,20,C.Wake,DE,0,0,1,0,1,Defensive Offside (1),10,2014
Tampa Bay,33,D.Bowers,DE,0,0,1,0,1,Defensive Offside (1),10,2014
Buffalo,4,L.Smith,TE,1,5,0,0,1,False Start (1),10,2014
N.Y. Jets,23,Q.Coples,OLB,1,0,0,0,0,Roughing the Passer (1),10,2014
Denver,10,M.Ramirez,G,1,5,0,0,1,False Start (1),10,2014
St. Louis,32,T.Johnson,CB,1,10,0,0,0,Offensive Holding (1),10,2014
Denver,10,J.Tamme,TE,1,10,0,0,0,Tripping (1),10,2014
Tampa Bay,33,L.Johnson,CB,1,10,0,0,0,Defensive Pass Interference (1),10,2014
Arizona,1,J.Bethel,CB,1,5,0,0,0,Defensive Holding (1),10,2014
St. Louis,32,J.Jenkins,CB,1,10,0,0,0,Illegal Block Above the Waist (1),10,2014
Green Bay,12,N.Perry,OLB,1,5,0,0,0,Illegal Use of Hands (1),10,2014
Tennessee,34,C.Sensabaugh,CB,1,10,0,0,0,Illegal Block Above the Waist (1),10,2014
Seattle,31,R.Wilson,QB,1,5,0,0,0,Illegal Forward Pass (1),10,2014
Seattle,31,J.Lane,CB,1,5,0,0,0,Defensive Holding (1),10,2014
Baltimore,3,P.McPhee,LB,1,10,0,0,0,Offensive Holding (1),10,2014
Oakland,26,B.Ross,SS,0,0,1,0,0,Defensive Holding (1),10,2014
N.Y. Jets,23,A.Allen,DB,1,5,0,0,1,Defensive Offside (1),10,2014
St. Louis,32,J.Barksdale,T,1,5,0,0,1,False Start (1),10,2014
Green Bay,12,D.House,DB,1,5,0,0,0,Defensive Holding (1),10,2014
Cleveland,8,J.Greco,G,1,4,0,0,1,False Start (1),10,2014
Carolina,5,J.Dockery,DB,1,10,0,0,0,Offensive Holding (1),10,2014
Miami,20,O.Vernon,DE,0,0,1,0,0,Unnecessary Roughness (1),10,2014
St. Louis,32,S.Wells,C,1,10,0,0,0,Offensive Holding (1),10,2014
Denver,10,P.Manning,QB,1,10,0,0,0,Intentional Grounding (1),10,2014
Denver,10,L.Vasquez,G,1,5,0,0,1,False Start (1),10,2014
Buffalo,4,J.Hughes,DE,1,5,0,0,1,Neutral Zone Infraction (1),10,2014
Seattle,31,M.Bennett,DE,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Detroit,11,D.Slay,CB,0,0,1,0,0,Defensive Holding (1),10,2014
New Orleans,25,K.Vaccaro,SS,1,7,0,0,0,Face Mask (15 Yards) (1),10,2014
Kansas City,16,E.Fisher,T,1,5,0,0,1,False Start (1),10,2014
Arizona,1,C.Palmer,QB,0,0,1,0,0,Illegal Forward Pass (1),10,2014
San Francisco,30,A.Boldin,WR,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Atlanta,2,J.Harris,LS,1,5,0,0,1,False Start (1),10,2014
N.Y. Jets,23,J.Cumberland,TE,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Chicago,6,J.Mills,T,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Chicago,6,K.Long,G,0,0,1,0,0,Offensive Holding (1),10,2014
Tampa Bay,33,J.Banks,CB,1,5,0,0,0,Illegal Contact (1),10,2014
Jacksonville,15,L.Reynolds,OLB,1,9,0,0,0,Offensive Holding (1),10,2014
Kansas City,16,J.Johnson,LB,1,4,0,0,0,Unnecessary Roughness (1),10,2014
Dallas,9,K.Wilber,OLB,1,5,0,0,0,Offensive Holding (1),10,2014
Baltimore,3,R.Wagner,T,1,5,0,0,1,False Start (1),10,2014
Cleveland,8,C.Robertson,ILB,1,10,0,0,0,Offensive Holding (1),10,2014
Cleveland,8,E.Martin,OLB,1,15,0,0,0,Taunting (1),10,2014
N.Y. Jets,23,D.Harrison,NT,1,5,0,0,0,Defensive Holding (1),10,2014
Dallas,9,J.Wilcox,FS,1,5,0,0,0,Personal Foul (1),10,2014
Jacksonville,15,C.Harbor,TE,1,10,0,0,0,Offensive Holding (1),10,2014
N.Y. Giants,22,J.Pugh,OL,1,5,0,0,1,False Start (1),10,2014
Tennessee,34,C.Warmack,G,1,5,0,0,1,False Start (1),10,2014
Dallas,9,C.Lawrence,LB,0,0,1,0,0,Defensive Holding (1),10,2014
Miami,20,P.Wheeler,LB,1,14,0,0,0,Unnecessary Roughness (1),10,2014
Jacksonville,15,D.Gratz,CB,0,0,1,0,0,Defensive Holding (1),10,2014
Tennessee,34,J.Hunter,WR,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Atlanta,2,R.Schraeder,T,1,5,0,0,1,False Start (1),10,2014
St. Louis,32,C.Givens,WR,1,15,0,0,0,Unsportsmanlike Conduct (1),10,2014
Tampa Bay,33,W.Gholston,DL,0,0,1,0,1,Defensive Offside (1),10,2014
Kansas City,16,A.Fasano,TE,1,10,0,0,0,Offensive Holding (1),10,2014
Seattle,31,T.McDaniel,DT,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Buffalo,4,S.Henderson,T,1,5,0,0,1,False Start (1),10,2014
Tennessee,34,B.Wreh-Wilson,CB,0,0,1,0,0,Defensive Holding (1),10,2014
Miami,20,J.James,T,0,0,1,0,0,Offensive Holding (1),10,2014
San Francisco,30,J.Ward,DB,0,0,1,0,0,Illegal Block Above the Waist (1),10,2014
Tampa Bay,33,C.Butler,CB,1,5,0,0,0,Illegal Contact (1),10,2014
St. Louis,32,G.Zuerlein,K,1,5,0,0,1,Delay of Game (1),10,2014
Denver,10,D.Ware,OLB,1,15,0,0,0,Roughing the Passer (1),10,2014
N.Y. Jets,23,J.Babin,DE,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Oakland,26,T.Brown,DB,1,21,0,0,0,Defensive Pass Interference (1),10,2014
Chicago,6,C.Jones,LB,1,6,0,0,0,Illegal Block Above the Waist (1),10,2014
Tampa Bay,33,P.Omameh,G,1,10,0,0,0,Offensive Holding (1),10,2014
Tennessee,34,Q.Groves,LB,1,5,0,0,1,Illegal Formation (1),10,2014
Tennessee,34,L.Washington,RB,1,15,0,0,0,Personal Foul (1),10,2014
Chicago,6,T.Williams,DB,1,15,0,0,0,Personal Foul (1),10,2014
Dallas,9,C.Spillman,DB,1,5,0,0,0,Defensive Holding (1),10,2014
Dallas,9,A.Hitchens,OLB,1,15,0,0,0,Personal Foul (1),10,2014
Detroit,11,I.Abdul,SS,1,15,0,0,0,Personal Foul (1),10,2014
N.Y. Jets,23,M.Vick,QB,1,15,0,0,0,Unsportsmanlike Conduct (1),10,2014
Detroit,11,J.Bynes,LB,1,3,0,0,0,Defensive Pass Interference (1),10,2014
Tennessee,34,Z.Gooden,ILB,1,10,0,0,0,Illegal Block Above the Waist (1),10,2014
San Francisco,30,A.Lynch,OLB,1,5,0,0,1,Neutral Zone Infraction (1),10,2014
Detroit,11,J.Ihedigbo,SS,1,15,0,0,0,Face Mask (15 Yards) (1),10,2014
St. Louis,32,G.Robinson,T,1,10,0,0,0,Offensive Holding (1),10,2014
Tennessee,34,R.Gordon,TE,1,5,0,0,1,False Start (1),10,2014
Tampa Bay,33,O.Cousins,T,1,14,0,0,0,Unnecessary Roughness (1),10,2014
Kansas City,16,M.McGlynn,G,0,0,1,0,0,Illegal Use of Hands (1),10,2014
Cincinnati,7,G.Little,WR,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Cincinnati,7,G.Iloka,SS,1,5,0,0,0,Defensive Holding (1),10,2014
Cleveland,8,B.Tate,RB,1,15,0,0,0,Face Mask (15 Yards) (1),10,2014
Tennessee,34,J.Anderson,LB,1,7,0,0,0,Illegal Block Above the Waist (1),10,2014
Tennessee,34,Z.Mettenberger,QB,1,0,0,0,1,Delay of Game (1),10,2014
Baltimore,3,D.Stewart,DB,1,10,0,0,0,Personal Foul (1),10,2014
Detroit,11,T.Swanson,C,0,0,1,0,0,Offensive Holding (1),10,2014
Detroit,11,K.Davis,TE,1,10,0,0,0,Offensive Holding (1),10,2014
Dallas,9,D.Street,WR,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Dallas,9,S.Moore,DB,1,9,0,0,0,Defensive Pass Interference (1),10,2014
Dallas,9,J.Heath,SS,1,6,0,0,0,Defensive Pass Interference (1),10,2014
New Orleans,25,J.Jenkins,NT,1,5,0,0,1,Encroachment (1),10,2014
New Orleans,25,T.Davis,OLB,1,10,0,0,0,Offensive Holding (1),10,2014
Denver,10,W.Montgomery,C,1,5,0,0,0,Ineligible Downfield Pass (1),10,2014
Denver,10,C.Nelson,LB,1,10,0,0,0,Offensive Holding (1),10,2014
Arizona,1,E.Stinson,DT,1,5,0,0,1,Neutral Zone Infraction (1),10,2014
N.Y. Giants,22,P.Parker,WR,1,10,0,0,0,Offensive Pass Interference (1),10,2014
Chicago,6,A.Dixon,SS,1,10,0,0,0,Offensive Holding (1),10,2014
Chicago,6,J.Clausen,QB,1,5,0,0,1,Delay of Game (1),10,2014
Carolina,5,J.Stewart,RB,1,10,0,0,0,Face Mask (15 Yards) (1),10,2014
Philadelphia,27,V.Curry,DE,1,5,0,0,1,Neutral Zone Infraction (1),10,2014
Philadelphia,27,M.Sanchez,QB,1,20,0,0,0,Intentional Grounding (1),10,2014
Baltimore,3,S.Smith,WR,0,0,1,0,0,Offensive Holding (1),10,2014
Pittsburgh,28,D.Heyward-Bey,WR,1,5,0,0,1,Offensive Offside (1),10,2014
Green Bay,12,H.Clinton-Dix,FS,1,15,0,0,0,Unnecessary Roughness (1),10,2014
Detroit,11,T.Whitehead,OLB,1,15,0,0,0,Roughing the Passer (1),10,2014
Dallas,9,Tyr.Smith,OL,1,5,0,0,1,False Start (1),10,2014
Baltimore,3,A.Levine,DB,1,10,0,0,0,Offensive Holding (1),10,2014
Denver,10,B.Roby,DB,1,5,0,0,0,Illegal Use of Hands (1),10,2014
Atlanta,2,R.Alford,CB,1,5,0,0,0,Defensive Holding (1),10,2014
Tampa Bay,33,D.Dotson,T,3,30,0,0,1,"False Start (1), Face Mask (15 Yards) (1), Offensive Holding (1)",11,2014
Cleveland,8,J.Greco,G,2,25,1,0,0,"Offensive Holding (1), Ineligible Downfield Pass (1), Chop Block (1)",11,2014
Denver,10,O.Franklin,G,2,15,0,0,1,"False Start (1), Offensive Holding (1)",11,2014
New England,24,R.Gronkowski,TE,1,15,1,0,0,"Unnecessary Roughness (1), Taunting (1)",11,2014
New England,24,R.Ninkovich,OLB,2,20,0,0,0,"Face Mask (15 Yards) (1), Illegal Use of Hands (1)",11,2014
Houston,13,J.Watt,DE,2,30,0,0,0,Roughing the Kicker (2),11,2014
San Diego,29,A.Gates,TE,2,20,0,0,0,"Offensive Pass Interference (1), Offensive Holding (1)",11,2014
Cleveland,8,M.Schwartz,T,1,5,1,0,1,"False Start (1), Offensive Holding (1)",11,2014
Seattle,31,R.Wilson,QB,1,5,0,1,1,"Intentional Grounding (1), Delay of Game (1)",11,2014
Buffalo,4,S.Gilmore,CB,2,29,0,0,0,"Defensive Pass Interference (1), Illegal Contact (1)",11,2014
Buffalo,4,N.Bradham,OLB,0,0,2,0,1,"Defensive Offside (1), Defensive Holding (1)",11,2014
Seattle,31,B.Irvin,LB,2,10,0,0,1,"Unnecessary Roughness (1), Defensive Offside (1)",11,2014
San Francisco,30,M.Wilhoite,ILB,1,5,1,0,0,"Defensive Pass Interference (1), Defensive Holding (1)",11,2014
Denver,10,L.Vasquez,G,2,15,0,0,1,"False Start (1), Offensive Holding (1)",11,2014
Seattle,31,M.Bennett,DE,1,5,1,0,1,"Illegal Use of Hands (1), Defensive Offside (1)",11,2014
Chicago,6,M.Bennett,TE,2,15,0,0,1,"Offensive Pass Interference (1), Illegal Formation (1)",11,2014
Philadelphia,27,B.Logan,NT,2,10,0,0,2,"Defensive Offside (1), Encroachment (1)",11,2014
Washington,35,T.Compton,T,2,15,0,0,1,"Illegal Block Above the Waist (1), Illegal Formation (1)",11,2014
New England,24,P.Chung,SS,1,8,0,0,0,Offensive Holding (1),11,2014
Denver,10,R.Clady,T,1,7,0,0,0,Offensive Holding (1),11,2014
Philadelphia,27,T.Cole,LB,1,5,0,0,1,Defensive Offside (1),11,2014
Buffalo,4,M.Dareus,DT,1,5,0,0,1,Neutral Zone Infraction (1),11,2014
Tampa Bay,33,G.McCoy,DT,1,5,0,0,1,Neutral Zone Infraction (1),11,2014
Cleveland,8,J.Sheard,DE,1,5,0,0,0,Illegal Use of Hands (1),11,2014
Cincinnati,7,A.Green,WR,1,10,0,0,0,Offensive Pass Interference (1),11,2014
Oakland,26,S.Wisniewski,C,0,0,0,1,0,Offensive Holding (1),11,2014
Oakland,26,D.McFadden,RB,0,0,1,0,0,Offensive Pass Interference (1),11,2014
Minnesota,21,B.Robison,DE,0,0,1,0,1,Defensive Offside (1),11,2014
Chicago,6,J.Cutler,QB,1,15,0,0,0,Unsportsmanlike Conduct (1),11,2014
Buffalo,4,E.Wood,C,1,10,0,0,0,Offensive Holding (1),11,2014
Detroit,11,R.Sims,G,1,15,0,0,0,Face Mask (15 Yards) (1),11,2014
Cincinnati,7,D.Peko,DT,1,3,0,0,0,Unnecessary Roughness (1),11,2014
Green Bay,12,A.Rodgers,QB,1,12,0,0,0,Intentional Grounding (1),11,2014
Pittsburgh,28,M.Gilbert,T,1,5,0,0,1,False Start (1),11,2014
Philadelphia,27,E.Mathis,G,0,0,1,0,0,Offensive Holding (1),11,2014
Washington,35,P.Riley,ILB,1,15,0,0,0,Face Mask (15 Yards) (1),11,2014
Washington,35,N.Paul,TE,1,10,0,0,0,Offensive Holding (1),11,2014
Cincinnati,7,A.Whitworth,T,0,0,1,0,1,Illegal Formation (1),11,2014
San Francisco,30,Ald.Smith,DE,1,10,0,0,0,Illegal Block Above the Waist (1),11,2014
Atlanta,2,J.Blalock,G,1,8,0,0,0,Offensive Holding (1),11,2014
Miami,20,J.Odrick,DT,1,5,0,0,1,Defensive Offside (1),11,2014
Seattle,31,B.Maxwell,DB,1,5,0,0,0,Defensive Holding (1),11,2014
Houston,13,D.Newton,T,1,10,0,0,0,Offensive Holding (1),11,2014
Washington,35,L.Paulsen,TE,1,2,0,0,1,False Start (1),11,2014
Minnesota,21,K.Rudolph,TE,1,10,0,0,0,Offensive Holding (1),11,2014
Washington,35,D.Young,FB,1,10,0,0,0,Offensive Holding (1),11,2014
Miami,20,B.Fields,P,0,0,1,0,1,Delay of Game (1),11,2014
Cincinnati,7,A.Jones,CB,1,5,0,0,0,Illegal Contact (1),11,2014
Miami,20,J.Freeny,LB,1,10,0,0,0,Offensive Holding (1),11,2014
New England,24,T.Wilson,SS,1,10,0,0,0,Illegal Block Above the Waist (1),11,2014
Minnesota,21,J.Robinson,CB,0,0,1,0,0,Defensive Pass Interference (1),11,2014
St. Louis,32,T.Johnson,CB,0,0,1,0,0,Illegal Contact (1),11,2014
Arizona,1,B.Massie,T,1,5,0,0,1,False Start (1),11,2014
Washington,35,P.Garcon,WR,1,5,0,0,1,False Start (1),11,2014
St. Louis,32,J.Jenkins,CB,1,5,0,0,1,Delay of Game (1),11,2014
New Orleans,25,B.Grubbs,G,1,10,0,0,0,Offensive Holding (1),11,2014
Cleveland,8,T.Gipson,FS,1,2,0,0,0,Face Mask (15 Yards) (1),11,2014
Houston,13,W.Mercilus,DE,1,5,0,0,1,Neutral Zone Infraction (1),11,2014
Seattle,31,J.Sweezy,OL,1,5,0,0,1,False Start (1),11,2014
Philadelphia,27,C.Thornton,DE,0,0,1,0,1,Defensive Offside (1),11,2014
Washington,35,L.Hankerson,WR,1,5,0,0,1,False Start (1),11,2014
Indianapolis,14,J.Freeman,ILB,1,17,0,0,0,Face Mask (15 Yards) (1),11,2014
St. Louis,32,R.McLeod,FS,1,15,0,0,0,Unnecessary Roughness (1),11,2014
San Diego,29,S.Wright,DB,0,0,0,1,0,Defensive Holding (1),11,2014
Houston,13,B.Brooks,G,1,10,0,0,0,Offensive Holding (1),11,2014
Buffalo,4,J.Hughes,DE,1,15,0,0,0,Unsportsmanlike Conduct (1),11,2014
Minnesota,21,X.Rhodes,CB,1,8,0,0,0,Offensive Holding (1),11,2014
Tampa Bay,33,L.David,LB,1,6,0,0,0,Face Mask (15 Yards) (1),11,2014
New Orleans,25,K.Vaccaro,SS,1,2,0,0,0,Roughing the Passer (1),11,2014
Philadelphia,27,L.Johnson,OL,1,5,0,0,1,False Start (1),11,2014
San Diego,29,K.Dunlap,T,1,10,0,0,0,Offensive Holding (1),11,2014
Washington,35,D.Amerson,CB,0,0,0,1,0,Illegal Contact (1),11,2014
Indianapolis,14,G.Toler,CB,1,5,0,0,0,Illegal Contact (1),11,2014
San Francisco,30,P.Cox,DB,0,0,1,0,0,Illegal Contact (1),11,2014
San Diego,29,K.Allen,WR,1,5,0,0,1,False Start (1),11,2014
Detroit,11,C.Mosley,DT,0,0,1,0,1,Defensive Offside (1),11,2014
Detroit,11,R.Mathis,CB,1,5,0,0,0,Illegal Contact (1),11,2014
N.Y. Giants,22,D.Moore,DE,1,9,0,0,0,Illegal Blindside Block (1),11,2014
Cleveland,8,D.Bryant,DE,0,0,1,0,0,Defensive Holding (1),11,2014
Chicago,6,K.Long,G,1,5,0,0,1,False Start (1),11,2014
Indianapolis,14,H.Thornton,G,0,0,1,0,0,Illegal Touch Pass (1),11,2014
Philadelphia,27,B.Fletcher,DB,1,18,0,0,0,Defensive Pass Interference (1),11,2014
New Orleans,25,B.Harris,T,1,10,0,0,0,Offensive Holding (1),11,2014
San Diego,29,D.Fluker,T,1,0,0,0,1,False Start (1),11,2014
San Diego,29,M.Scifres,P,0,0,1,0,1,Delay of Game (1),11,2014
Cleveland,8,C.Robertson,ILB,1,5,0,0,0,Illegal Contact (1),11,2014
Indianapolis,14,G.Cherilus,T,1,5,0,0,1,False Start (1),11,2014
New Orleans,25,C.White,DB,1,7,0,0,0,Defensive Pass Interference (1),11,2014
Denver,10,M.Jackson,DT,1,5,0,0,1,Neutral Zone Infraction (1),11,2014
Seattle,31,R.Lockette,WR,1,15,0,0,0,Unnecessary Roughness (1),11,2014
Tennessee,34,C.Warmack,G,1,10,0,0,0,Offensive Holding (1),11,2014
Detroit,11,L.Waddle,T,0,0,1,0,0,Offensive Holding (1),11,2014
Arizona,1,P.Fanaika,G,1,10,0,0,0,Offensive Holding (1),11,2014
Atlanta,2,R.Schraeder,T,1,5,0,0,1,False Start (1),11,2014
Tampa Bay,33,W.Gholston,DL,1,15,0,0,0,Face Mask (15 Yards) (1),11,2014
New Orleans,25,T.Armstead,T,0,0,1,0,1,Illegal Motion (1),11,2014
Seattle,31,T.McDaniel,DT,1,5,0,0,1,Neutral Zone Infraction (1),11,2014
Oakland,26,A.Holmes,WR,1,4,0,0,0,Offensive Pass Interference (1),11,2014
Atlanta,2,D.Hester,WR,1,15,0,0,0,Unnecessary Roughness (1),11,2014
Oakland,26,D.Carr,QB,0,0,1,0,1,Illegal Motion (1),11,2014
San Francisco,30,C.Dahl,DB,1,10,0,0,0,Offensive Holding (1),11,2014
Miami,20,S.Satele,C,1,5,0,0,1,False Start (1),11,2014
Arizona,1,D.Stanton,QB,1,5,0,0,1,False Start (1),11,2014
N.Y. Giants,22,J.Walton,C,1,10,0,0,0,Offensive Holding (1),11,2014
Washington,35,S.Lauvao,G,1,5,0,0,1,False Start (1),11,2014
Oakland,26,A.Smith,DE,0,0,1,0,1,Defensive Offside (1),11,2014
San Francisco,30,S.Johnson,WR,1,10,0,0,0,Offensive Holding (1),11,2014
Chicago,6,W.Young,OLB,1,5,0,0,1,Defensive Offside (1),11,2014
Chicago,6,C.Jones,LB,1,10,0,0,0,Illegal Block Above the Waist (1),11,2014
San Francisco,30,D.Johnson,DB,0,0,1,0,0,Running Into the Kicker (1),11,2014
Tampa Bay,33,P.Omameh,G,0,0,0,1,0,Illegal Use of Hands (1),11,2014
Detroit,11,M.Seisay,DB,1,10,0,0,0,Offensive Holding (1),11,2014
Oakland,26,B.Mayowa,DE,1,5,0,0,1,Neutral Zone Infraction (1),11,2014
Pittsburgh,28,M.Palmer,TE,1,9,0,0,0,Offensive Holding (1),11,2014
Pittsburgh,28,B.McCain,DB,1,15,0,0,0,Face Mask (15 Yards) (1),11,2014
Pittsburgh,28,A.Moats,OLB,1,10,0,0,0,Illegal Block Above the Waist (1),11,2014
